title	onet_code	onet_name	job_zone	company	city	state	description_all
SUMMER 2014- Lifeguards for Adapted Program	33-9092.00	"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"	2	Madison Metropolitan School District	MADISON	WI	"Essential Functions\\nLifeguard for adapted aquatics water walking program on the east side.\\n\\nRequired Knowledge, Skills & Abilities\\nLifeguard certification\\n\\nMinimum Qualifications\\nDesire to work with people of varying disabilities\\n\\nDesired Qualifications\\nExperience with people with disabilities. First aid and CPR certification desired\\n\\nOther Information Hours of work: Weekdays, M, Wed and Th, 6:30-8:30 pm, and Saturday mornings Estimated end date: 08/16/14 Hired applicants must attend staff training.\\nApplication Deadline 06/15/14"
Assistant Manager(03626) - 2900 Longbeach Rd.	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	Dominos Pizza	OCEANSIDE	NY	18 yrs. or older Valid drivers license Friendly Works well with others Works well under stress of high paced environment Organized Efficient in time management Must work weekends Preferred restaurant experience Ability to multitask Motivational skills Enthusiastic
ATTENDANT SNACK BAR	35-3022.00	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	1	Fremont Hotel & Casino	LAS VEGAS	NV	"JOB DESCRIPTION:\\n\\nReceive food and beverage orders from guests. Prepare and serve food and beverages in accordance with established service standards. Operate cash register, complete monetary transactions, and maintain an accurate bank. Maintain cleanliness of snack bar areas.\\n \\n\\n \\nJOB REQUIREMENTS:\\n\\nPrior food handling experience preferred. Must have excellent customer skills. Must be able to stand and walk for extended periods of time for majority of shift. Must be able to lift and maneuver up to 25 pounds. Must be able to obtain/maintain any necessary licenses and/or certifications."
Library Clerk	43-4121.00	"Library Assistants, Clerical"	2	Auburn-Washburn USD 437	TOPEKA	KS	This position is for the 2014-2015 school year. The schedule for this position is 4 hours a day and 9 months a year. This position is eligible for KPERS Retirement. Pay for this position is $8.00/hr or $8.50/hr if you have a Bachelor's degree from an accredited University.
HOUSE SUPERVISOR FT Weekends 7a-11p	51-1011.00	First-Line Supervisors of Production and Operating Workers	2	Tenet	NACOGDOCHES	TX	"Title: HOUSE SUPERVISOR FT Weekends 7a-11p Location: TX-Nacogdoches Other Locations: TX-Nacogdoches Assumes authority and responsibility for hospital operations in the absence of senior management. Knowledge of hospital administration, nursing services, customer relations, and plant operations; serves to facilitate communication among the five customer. Case Management duties. Graduate of an accredited nursing school.-Minimum of 3 years nursing experience required. Previous managerial experience in hospital-based clinical nursing. Case Management experience strongly preferred. Current verification of competency in cardiopulmonary resuscitation including newborn and pediatric resuscitation with ACLS and PALS required."
Sterile Processing Technician II	31-9093.00	Medical Equipment Preparers	2	"University of California, San Diego"	SAN DIEGO	CA	"As a Sterile Processing Technician Level II, working under supervision, responsible and accountable for all activities and competencies related to sterile processing and decontamination of instrumentation and equipment. Performs all tasks and duties in accordance with relevant policies, procedures, and regulatory guidelines., other duties as assigned.\\n \\n\\n \\n* Minimum two (2) years previous experience in an acute care facility.\\n* CPR/BLS certification (Recognized by AHA or equivalent).\\n* Demonstrate knowledge of a wide variety of operating room and central services instrumentation and equipment.\\n* Knowledge of effective inventory storage and retrieval practices.\\n* Demonstrate knowledge of sterilization process of surgical instruments.\\n*\\n\\nHave excellent communication skills with the ability to communicate clearly both verbally and in writing.\\n\\nPREFFERED:\\n\\n*\\n\\nSterile Processing Certification."
Pet Groomer - VCA Animal Care Hospital	39-2021.00	Nonfarm Animal Caretakers	1	VCA Animal Hospitals	PLANO	TX	"VCA Animal Care Hospital is seeking an experienced Pet Groomer to work the Monday through Friday Shift at our 2-doctor small animal practice in Plano, Texas.\\n\\nThis is an outstanding opportunity for a highly motivated Groomer to capitalize on our established clientele.\\n\\nThe ideal candidate must have excellent animal handling and client service skills, along with strong knowledge in grooming techniques of all breeds of dogs and cats.\\n\\nWe offer competitive compensation and a comprehensive benefits package, including medical/dental/vision coverage and paid vacation (for F/T employees only), 401(k), uniform allowance, generous personal pet care discounts, and more."
Warehouse Lead	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	The Barracuda Group	IRVING	TX	Job Description/Responsibilities:: Assist the manager/supervisor and employees on daily warehouse tasks thereby creating efficient production.: Inventory control (Tag & track materials): Prep/Process shipments: Keep area organized and clean: Performs other duties as assignedQualifications:: 1+ years of experience light industrial/manufacturing environment: Familiar with Microsoft Outlook & Inventory systems (physical inventory process): Knowledgeable of Bin Control & Default Bin duties: Knowledgeable of Order Fulfillment processes: Ability to operate heavy machinery (Forklift): Willingness to ask for/offer help when needed: Willingness to work Overtime when necessary
Payroll Consultant	43-3051.00	Payroll and Timekeeping Clerks	2	inSync Staffing	SCOTTSDALE	AZ	"Ensure accurate processing and recording of payroll, provide timely and accurate financial information. Process payroll using SAP and TimeSaver On Demand while providing customer service and satisfaction. Assist property HR team with all payroll related concerns including processing termination checks, etc... Assist in the support of the timekeeping system including daily reports to Department Managers, resetting passwords, reconciling of hours, etc... Essential: Two to three years of payroll experience Intermediate computer skills including Microsoft Excel Customer Service skills and experience Desirable: SAP and TimeSaver experience. Hours 9am to 5pm"
Pet Groomer - VCA Animal Hospital	39-2021.00	Nonfarm Animal Caretakers	1	VCA Animal Hospitals	EAST HARTFORD	CT	"VCA Animal Hospital of East Hartford is seeking an experienced Pet Groomer to join our team in East Hartford, Connecticut.\\n\\nThis is an outstanding opportunity for a highly motivated Groomer to capitalize on our established clientele.\\n\\nExcellent animal handling and client service skills are required, along with strong knowledge in the grooming techniques of all breeds of dogs and cats.\\n\\nWe offer competitive compensation along with a comprehensive benefits package, including: medical/dental/vision and paid vacation (for F/T employees only), 401(k), generous personal pet care discounts and more!"
Busser	35-9011.00	Dining Room and Cafeteria Attendants and Bartender Helpers	1	Texas Land & Cattle	ALBUQUERQUE	NM	"This position is responsible for maintaining a clean restaurant environment by bussing tables and completing table maintenance throughout the shift. Main Job Tasks and Responsibilities:• Arrives to work in full dress guidelines, looking professional.• Assists servers with pre-bussing tables.• Assists servers and bartenders with restocking during shift.• Busses, wipes down, and resets tables.• Pays attention to dining room, cleans spilled drinks or broken dishes up immediately.• Reports all equipment problems to a manager.• Follows safety and sanitation policy at all times.• Maintains service stations in a clean and orderly manner throughout the shift.• Performs other duties as required."
Temporary Pool Grill Cook	35-2011.00	"Cooks, Fast Food"	1	Rosewood Hotels and Resorts	MENLO PARK	CA	"OVERVIEW/BASIC FUNCTION:\\n\\nPlan, prep, set up and provide quality service in all areas of hot food production; to include, but not limited to pool grill menu items.  Maintain organization, cleanliness and sanitation of work areas and equipment.\\n\\nQUALIFICATIONS:\\n\\nExperience: Minimum three years' experience as a Line Cook at a 4 or 5 star hotel or restaurant.\\n\\nEducation: High school diploma; culinary certification preferred.\\n\\nJob Requirements\\n\\nEEO-1 Code: 402"
Food Service Worker	35-3041.00	"Food Servers, Nonrestaurant"	1	Joblur	EL PASO	TX	"Food Service Worker - Our ideal candidates will be self motivated, team players, who have the desire to succeed. We care about our employees, have a supportive environment that values trust and respect, offer a competitive wage and benefits package that includes a generous paid time off plan, plus an associate discount, and a company matched 401(k) to name a few. Wage or Salary per Hour: $40 Plus Bonuses Good Comunication skills"
Cash Applications Clerk	41-2011.00	Cashiers	1	Kforce Finance & Accounting	NEW YORK CITY	NY	"Kforce is currently hiring for an experienced Cash Application Specialist professional that prepare, analyze and review financial data, maintain the general ledger to include preparation of journal entries, account analysis and reconciliation, supports the month end close process * Apply client payments to invoices and complete all payment batches by end of day * Process credit card and EFT payments and credits * Research and resolve payment discrepancies * Verify that transactions comply with financial policies and procedures * Prepare manual deposits * Assists in maintenance of files, including filing of general ledger journal vouchers and accounts receivable documentation and other miscellaneous filings * Issue credits to customers as required. * Run Oracle reports for Unapplied Cash resolution * Perform ad hoc analyses as required"
Cash Applications Clerk	41-2011.00	Cashiers	1	Kforce Finance & Accounting	TAMPA	FL	Kforce is currently looking for an experienced Cash Applications professional with extensive accounts receivable and ERP accounting software experience for an opportunity with Kforce's client in Tampa. Duties will include: * Cash receipts/applications * Research and correction of misapplied payments * Daily aging report maintenance * Some vendor collections * Collections analysis and strategy
Cash Applications Clerk	41-2011.00	Cashiers	1	Kforce Finance & Accounting	FORT WORTH	TX	"Our client in Ft. Worth, TX is seeking a Cash Applications Clerk. The cash applications specialist works under the supervision of the accounting manager, recording client payments and ensuring that payments are accurate. Candidate will also communicate with customers and resolves conflicts."
Funeral Home Housekeeper- Laurel Land Of Fort Worth Inc	37-2012.00	Maids and Housekeeping Cleaners	2	Stewart Enterprises	FORT WORTH	TX	"Service Corporation International is seeking to fill a Full Time Housekeeper position. Duties & Responsibilities Indoor cleaning Ordering cleaning supplies Accept and stock deliveries Assisting with setting up floral arrangements for funerals and visitations Qualifications, Experience & Physical Requirements At least high school diploma or GED Excellent communications skills (both verbal and written) Ability to work in fast paced environment independently with minimal supervision Ability to handle multiple tasks and create a team atmosphere Ability to do lift at least 50 lbs This position has not been approved for applicable relocation benefits. This position requires driving. Required Skills Required Experience"
Receptionist (1704NYRG)	43-4171.00	Receptionists and Information Clerks	2	Recruit GAAP Staffing	NEW YORK CITY	NY	"With a local environment described as: Community oriented, modern and open-minded company–Recruit GAAP Staffing is searching for a full time Receptionist for a company located in New York City (Manhattan), NY.  The right candidate will be able to successfully perform the primary roles and responsibilities of: Maintain high volume of incoming calls, Perform administrative tasks, Maintain cleanliness and sales of boutique.  Recruit GAAP is searching for the right candidate who is proficient with the following skills, work experience or abilities: Client relations, Phone etiquette, Clerical and administrative duties.  If a starting salary of up to $17 per Hour, great company benefits, and the described work environment appeals to you, then please consider applying for Job Code: 1704NYRG. Location: New York City (Manhattan), NY 10280. Salary: $17/Hour. Job Code: 1704NYRG"
"Driver - Auburn, ME"	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Savage Companies	AUBURN	WA	"Date: Posted 29-Jul-2014, Closing 30-Aug-2014 (MST)\\n\\nLocation: Auburn, ME\\n\\nPay Rate: Dependent Upon Experience / Weekly Minimum Applies\\n\\nPay Type: Other\\n\\nBenefits: Health Insurance, 401k w/ Profit Sharing, Vacation/Holiday Pay & Quarterly Bonus Incentive Program\\n\\nEmployment Type: Full Time\\n\\nRI: JB"
Part-time Public Safety DispatcherInterAmericanPart Time	43-5031.00	"Police, Fire, and Ambulance Dispatchers"	2	Miami Dade College	MIAMI	FL	"Position ID: 874611\\nPosition Type: Part-Time Support\\nExternal Position: Yes\\nDate Posted: 6/12/2007\\n\\nThe Part-time Dispatcher receives and responds to emergency and routine telephone calls for Campus wide general information, and specific requests for service directed to the Public Safety Department.\\n\\n* Determines the nature and importance of all telephone call requests and initiates appropriate response actions to sufficiently service the requests\\n* Inputs and retrieves information from several different Public Safety databases, monitors all internal office telephones, two-way radio communications, alarm and access control systems\\n* Maintains a detailed, daily incident report log\\n* Logs in and out items turned in to Lost and Found\\n* Issues parking gate cards and faculty/staff parking decals\\n* Receives and distributes College keys to facilities and offices on campus\\n* Receives and disburses Petty cash\\n* Performs all other duties as assigned"
"FOOD SERVICE WKR, Per Diem"	53-7062.00	"Laborers and Freight, Stock, and Material Movers, Hand"	2	Conifer Health Solutions / Tenet	PHILADELPHIA	PA	"## Description Maintains a clean work environment for the preparation, assembly, and sanitation involved in patient meal delivery. ## Qualifications High school diploma or equivalent required-Must have excellent customer service skills. Previous food service experience required. *Job Type:* PT2Y *Shift Type:* Days *Job:* Maintenance, Food Service,Housekeeping and Security *Primary Location:* PA-Philadelphia *Hospital/Facility:* 868- St. Christopher''s Hospital for Children - Philadelphia, PA *Req ID:* 1405015017"
Production Associate	51-9198.00	Helpers--Production Workers	1	General Air	COMMERCE CITY	CO	"General Air Service & Supply, a regional leader in the compressed gas and welding equipment and supply distribution business is currently searching for an employee to fill compressed gas cylinders in our production plant in Commerce City. If you are interested in joining a dynamic and rapidly growing company with opportunity for personal growth and advancement then we would like to talk to you about this position in our business.Job duties include:Inspection and filling of compressed gas cylindersOperating a forklift to move pallets of cylinders Scanning of cylinder barcodes for entry into production recordsJob requiresAbility to perform repetitive work functions in a production environmentAbility to work safely while operating high pressure gas filling manifoldsAbility to follow all required safety and compliance procedures relevant to the production and filling processBasic computer literacy"
"Fountain Valley, CO OT job! Interviewing today!"	35-3022.00	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	1	ProCare Therapy	0	CO	"Our school district in Fountain Valley, CO is now interviewing for a full time OT position for the 14 - 15 school year! We are ready to being scheduling interviews this week so we can begin the year fully staffed! To apply for this full time OT job in Fountain Valley, CO please contact Kaitlyn MacDonell at 770.325.0569 or email kaitlyn.macdonell@procaretherapy.com\\n\\nWe are looking for new grad Occupational Therapists or seasoned OTs who enjoy working with a school based caseload. Once hired for this full time OT job in Fountain Valley, CO you will be working with a caseload of k - high school students with a diverse range of disabilities.\\n\\nThis school district has an excellent staff and are excited to start the year out with a great new OT on board!\\n\\nThis position is 40 hours per week.\\n\\nTo apply for this full time OT job in Fountain Valley, CO please contact Kaitlyn MacDonell at 770.325.0569 or email kaitlyn.macdonell@procaretheapy.com"
Health Unit Coordinator I	43-6013.00	Medical Secretaries	2	Phelps Memorial Hospital Center	SLEEPY HOLLOW	NY	"**Job Summary:**The Health Unit Coordinator I is responsible for coordinating non-clinical activities for a patient care unit under the direction of the nurse in charge and/or Nurse Manager and in accordance with local, state, federal, Joint Commission and other regulatory agencies. "
Looking for an experienced Dispatcher!!!	43-5032.00	"Dispatchers, Except Police, Fire, and Ambulance"	2	Kelly Services	TROY	MI	"### Job Description This position includes dispatching high-end limo drivers. The candidate must have a VERY good sense of direction and be able to read maps. You will be responsible for redirecting drivers to new designations and make necessary updates with changing schedules/flight times, pick-ups and drop-offs. Approx. 28 hours/week Thursday 5:00 am-3:00 pm Friday 5:00 am- 3:00 pm Saturday 6:00 am- 3:00 pm $16/hour ### Requirements Candidate must be extremely organized and detail-oriented. A Logistics background is preferred. *Job Reference #:* US3319BA_15487855 *Work Type:* Part Time *Employment Type:* Temporary/Contract *Category:* Other *Career Level:* Experienced (Non-Manager) *Location:* Troy MI *Industry:* Travel; Transportation and Tourism *Highest Education:* High School - Diploma *% of Travel:* None *Date Posted:* 6 days ago *Shift/Hours:* First Shift (Day)"
Child Care Worker (1121NYRG)	39-9011.00	Childcare Workers	2	Recruit GAAP Staffing	SYRACUSE	NY	"With a local environment described as: Local and successful social service–Recruit GAAP Staffing is searching for a full time Child Care Worker for a company located in Syracuse, NY.  The right candidate will be able to successfully perform the primary roles and responsibilities of: Supervise at risk adolescence, Dispense medication, Teach first aid and CPR to staff at residential facility.  Recruit GAAP is searching for the right candidate who is proficient with the following skills, work experience or abilities: Therapeutic crisis intervention, Supervision, First Aid CPR instructor certification.  If a starting salary of up to $15 per Hour, great company benefits, and the described work environment appeals to you, then please consider applying for Job Code: 1121NYRG. Location: Syracuse, NY 13208. Salary: $15/Hour. Job Code: 1121NYRG"
"Driver, Tow Truck Driver"	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	GBN Express	SYRACUSE	NY	"Looking for tow truck and flat bed operators to join our work family. Requirements: - Be able to problem solve and analyze situations - Have basic math skills - Have attention to detail - This is a customer service based industry so you must have good communication and people skills - Be an honest, trustworthy, and dedicated person - Have good personal hygiene and appearance Responsibilities: - Transporting vehicles for customers - Doing service calls such as lockouts, flat tires, jump starts, etc. - Completing paperwork - Maintain cleanliness of your truck As well as many other responsibilities. Schedule: This is 24/7 business so there is mandatory on-call nights and weekends in addition to your day shift and you must be able to work overtime if needed. Experience is a plus but not necessary. We are willing to train the right person. Customer Service Skills"
Concrete Finisher	47-2051.00	Cement Masons and Concrete Finishers	2	Trillium Staffing	GRAND RAPIDS	MI	"Concrete Finish Worker needed in Grand Rapids, MI! Now seeking candidates to perform general labor tasks in the flooring industry!! Primary duties: -Preparing concrete and previously coated floors by cleaning, sanding, grinding, shot blasting, and or milling. -Patching and repairing concrete defects. -Application of resinous flooring including epoxies, polyurethanes and decorative coatings Concrete polishing. If you have previous experience and meet the qualifications listed, please apply today!"
Concrete Finisher	47-2051.00	Cement Masons and Concrete Finishers	2	Trillium Staffing	BRIGHTON	CO	Trillium Construction is in need of 3 concrete finishers in Brighton CO. Trillium construction is now hiring 3 concrete finishers to work with a compnay in Brighton CO. MUST have at least 3 years finishing experience. This job is temp to hire position and will pay 16-23 an hr pending experience. All tools will be provided as will PPE. Apply today start immediately.
Concrete Finisher	47-2051.00	Cement Masons and Concrete Finishers	2	Trillium Staffing	WAUKESHA	WI	Trillium Construction is now hiring a concrete finisher! We are now seeking concrete finishers for the Waukesha area! We are looking for hard working individuals ready to start asap! Pay rate is $18-$22/hourly
Concrete Finisher	47-2051.00	Cement Masons and Concrete Finishers	2	Trillium Staffing	OGDEN	UT	"Trillium Construction is now seeking Concrete Finishers, and Form Carpenters to start immediately in Syracus, UT! This will be a 1-2 month long project working 50-60 hours a week. Pay is negotiable depending on experience. Concrete Finishers and Form Carpenters will be constructing a large cold storage warehouse. If you are interested, and meet the qualifications, please apply today!"
Concrete Finisher	47-2051.00	Cement Masons and Concrete Finishers	2	Trillium Staffing	STURTEVANT	WI	"Trillium Construction Services is currently seeking Concrete Finishers in Kenosha, Wisconsin! Trillium Construction Services, a national leader in skilled trades staffing, is always looking for experienced Concrete Finishers! Our client is in need of several Concrete Finishers for work in the Kenosha area! Finishers must have laser screed experience or mechanical finishing experience. If you are interested in this position and meet the qualifications listed, please apply today!"
ASST - PHYSICAL THERAPY PRN	31-2022.00	Physical Therapist Aides	2	Conifer Health Solutions / Tenet	NACOGDOCHES	TX	"## Description Responsible for administering physical therapy treatment as established by a physical therapist. Assist patients to reach their maximum performance and level of function. ## Qualifications Graduate of a Physical Therapist Assistant program approved by the American Physical Therapy Association.-Must have one year physical therapy experience. Experience in an acute care and rehabilitation setting helpful. *Job Type:* PT2Y *Shift Type:* Days *Job:* Therapy and Rehabilitation *Primary Location:* TX-Nacogdoches *Hospital/Facility:* 449-Nacogdoches Medical Center - Nacogdoches, TX *Req ID:* 1405007621"
"Assistant Store Manager, Hardlines#1504-WILLIAMSVILLE"	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	Kmart	BUFFALO	NY	"The Assistant Store Manager, Hardlines is the chief merchant of the Home Appliance, Home Electronics, Home Improvement and Lawn/Garden/Fitness departments and is primarily accountable for performance with customers, associates, sales and profitability. The Assistant Store Manager, Hardlines is accountable to manage, lead and coach his/her selling organization to maximize our customers’ shopping experience by delivering world class in-stock experience and a well planned and executed MSP. The Assistant Store Manager, Hardlines is also accountable to manage, lead, and coach the consultative selling organization to support the selling process.\\n\\nMinimum of 1-3 years of merchandising in retail stores w/ Supervisory/Management experience.\\n\\nEOE Minorities / Females / Protected Veterans / Disabled"
Pediatric Physical Therapy Job	31-2022.00	Physical Therapist Aides	2	Sunbelt Staffing	TOWSON	MD	"A school physical therapist best fit for this job will be patient, organized, and enjoy working as part of a team. In this physical therapy job you will be working with pediatrics in a school setting near Towson providing services to school aged students with various diagnoses\\n\\nWe are interested in school physical therapists in Towson, MD with the following experience:\\n\\n• Ability to complete initial and progress assessments\\n\\n• Familiarity of IEP process\\n\\n• Experience providing therapy in a school setting\\n\\n• Understanding of collaboration techniques with other disciplines\\n\\nIf you would like to be considered for this or other physical therapy jobs in the Towson, MD or Baltimore area, please contact Megan Melton at 813-792-3415 or forward resume to megan.melton@sunbeltstaffing.com"
Assistant General Manager - Stanford Shopping Center	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	Tory Burch	PALO ALTO	CA	"As the Tory Burch AGM, you are a **critical leadership partner – a “co-pilot”**to the GM and someone the store staff can rely on for **guidance and growth**. You will partner with the GM to create a highly productive environment in which **customers have an extraordinary experience, employees are able to do their best and the business thrives.**You are primarily accountable for developing and maintaining staff **selling and service skills**, in addition to the day-to-day operations of running a successful business with an authentic approach. * **Undergraduate degree**(business or fashion related discipline a plus) * 3-5 years of **management experience**in a luxury or service driven environment * Prior **experience as a GM or AGM**a plus *Date:* 2014-07-10 *Country:* US *State:* CA *City:* Palo Alto"
Trinity Shoring - Local Driver	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Trinity Industries	CHARLOTTE	MI	"Provide customer service. Load and unload truck in retail yards. Inspect and approve loads. Ability to run large fork lift. Truck inspections and Preventative maintenance on truck. When not on the road or performing maintenance, help yard personnel in Lansing with duties such as washing, stocking and repairing rental equipment. Required Skills Must have Class A CDL. Operate large forklift. Operate knuckle boom. Knowledge of loading and unloading flatbed truck. Customer service. Required Experience Operate large forklift. Operate knuckle boom. Knowledge of loading and unloading flatbed truck. Customer service. Must have Class A CDL. Operate large forklift. Operate knuckle boom. Knowledge of loading and unloading flatbed truck. Customer service."
Housekeeping/Service Aide- Independence House	37-2012.00	Maids and Housekeeping Cleaners	2	Blanchard Valley Health System	FOSTORIA	OH	"The primary purpose of your job position is to perform daily housekeeping tasks needed to maintain the facility in a clean, orderly, and attractive condition in accordance with Birchaven Village policy and procedure, Birchaven Village ethical statement and resident rights, subject to the employee handbook, and as directed by the Supervisor of Housekeeping/Laundry. This position is for Independence House located in Fostoria, OH. REQUIREMENTS ? Must possess, as a minimum, a 10th grade education, or up to one month related experience or training; or equivalent combination of education and experience. ? Ability to read and comprehend simple instructions, short correspondence, and memos. ? Ability to print and speak simple sentences. ? Ability to apply commonsense understanding to carry out detailed but uninvolved written or oral instructions. ? Ability to deal with problems involving a few concrete variables in standardized situa"
Sales Consultants Pompano VW	41-2031.00	Retail Salespersons	2	Vista VW	POMPANO BEACH	FL	"Vista Motors is seeking SALES ADVISORS for our POMPANO BEACH VW store. The perfect candidate should be experienced in Auto Sales. Excellent pay plan, including full benefits, medical, dental, STD, LTD, voluntary life insurance, AFLAC, and paid time off. For immediate consideration forward resume to: David.Petrie@vistavw.com or Fax resume to: 954-935-2682. Attn: David Petrie EOE/DFWP -Previous car sales experience a plus. -Great customer service skills a must. -Follow up skills a must."
Cook	35-2011.00	"Cooks, Fast Food"	1	Saint Francis Healthcare	HOCKESSIN	DE	"*\\n\\nPrepares and provides food service to residents in a cost effective, efficient manner to safely meet residents' needs in compliance with federal, state and local requirements.  Prepares residents dietsa in accordance with diet orders and daily menus, assists food service director to determine the amount and type of food necessary to prepare daily menus, Monitors use of food to eliminate waste, follows posted menus for food preperation, stocks food in compliance with dietary policies and procedures.  Functions as dietary supervisor in absence of food service director.\\n\\nExperience in Long Term Care preferred\\nBrackenville\\nPart-Time"
TP TEX6981 Customer Service Representative - Part-time	43-4051.00	Customer Service Representatives	2	Check 'n Go	SAN ANGELO	TX	"Check 'n Go has been a leader in the financial services arena since 1994. If you are interested in working with a strong leadership team, evolving financial products, and a team that feels more like a family than co-workers; this is the place for you! You will enjoy a business casual work environment, with fun and rewarding career advancement opportunities. Thank you for your interest in becoming a part of the Check n Go Team. Current Opportunities available: Part-time Customer Service Representative As a customer service representative, you will provide superior customer service to Check n Go customers by greeting customers, processing customer loan applications, answering customer inquiries regarding loan and product offerings, assist in the daily upkeep up of store premises and opening and closing of the store, and participate in roadside marketing as needed. Part-Time Associate Benefits Include: Competitive pay 401(k) Employee Assistance Program"
CLEANER TECH	53-7061.00	Cleaners of Vehicles and Equipment	1	Georgia Department of Labor	VALDOSTA	GA	"Requires: Six months of custodian, janitor or cleaner work experience, a high school diploma or GED, a valid drivers license and own transportation (to travel during job performance), be at least 18 years old, be able to travel to and from the work sites, and be willing to submit to a background check and drug test.\\n \\n\\n \\n\\n \\nEmployer is looking for the idea candidate that has the passion for cleaning and loves to interact with people. General basic cleaning duties includes: mopping, sweeping, vacuuming, dusting, and other duties assigned. This position is great for a second income. Must be able to work as a team. Must be able to travel to locations outside of the service area. Must be willing to submit to a background check and drug test.\\n \\nPrevious Custodian experience"
Packaging Associate	51-9111.00	Packaging and Filling Machine Operators and Tenders	2	Blount County Chamber of Commerce	MARYVILLE	TN	"Packaging Associate July 07, 2014 - October 30, 2014 Location: MARYVILLE, TN Salary Range: $8.00 Benefits: 8.00 Employment Type: Full Time Employer: Express Employment Professionals Description: Looking for extra work? We are looking for associates who will be responsible for loading and unloading trucks and distributing materials throughout the warehouse during their busiest shipment days. Duties: -Load and unload shipment trucks -Have attention for detail -Lift boxes for an 8 hour shift -Scan gun experience is a plus Qualifications: -Previous General Labor Experience -Be Reliable and Punchtual -Be Self-Motivated -Follow Direction Well First Shift: 5AM to3 PM Second Shift: 2PM to 11:30PM Click Here to Download Complete Job Description"
Warehouse Inventory and Shipping Clerk	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Career Center	OKLAHOMA CITY	OK	"Hiring several Inventory Shipping/Receiving clerks and janitors. The Inventory Shipping/Receiving clerks will be responsible for packing and receiving orders. Maintenance Janitors will be responsible for doing the regular cleaning.Main Responsibilities- Shipping and Receiving: Receive incoming goods, check quantity and part for accuracy.- Prepare and ship outgoing products which includes labeling, packaging, boxing, and invoicing.- Attention to detail is very important.- Training will be provided.Additional Responsibilities- Shipping Administration: Maintain shipping and receiving records. Organize and file shipment paperwork.- Maintain packaging materials and purchase shipping supplies including courier packing pouches, envelops, boxes, and packing supplies.- Understand procedures and methods when working with FedEx, DHL, UPS and USPS- Other tasks as assigned by supervisors Ability to drive a forklift"
School based Physical Therapy contract job open in TX NOW	31-2022.00	Physical Therapist Aides	2	Soliant Health	LA PORTE	TX	"School based Physical Therapy contract job open in TX NOW * Job Location: La Porte, TX * Category: Schools - PT * Apply Now! * Back to Results Soliant is ready to begin interviewing for a school-based Physical Therapist in the La Porte area of Texas. This will be a part-time position, working about 3 days a week. Currently the schedule will be Tuesday, Wednesday, and Thursday, but we do have some flexibility to work with an interested PT on which days will be best. We need the PT to have previous school experience and/or pediatric experience to be considered. There will be about 30 students on the caseload ranging from Pre-K to 12th grade. For more information about this opportunity, please contact Brittany Forrester at 678-837-1244 orBrittany.forrester@soliant.com Don't miss this opportunity, APPLY NOW!"
School based Physical Therapy contract job open in TX NOW (41064954)	31-2022.00	Physical Therapist Aides	2	Soliant Health	LA PORTE	TX	"Soliant is ready to begin interviewing for a school-based Physical Therapist in the La Porte area of Texas. This will be a part-time position, working about 3 days a week. Currently the schedule will be Tuesday, Wednesday, and Thursday, but we do have some flexibility to work with an interested PT on which days will be best. We need the PT to have previous school experience and/or pediatric experience to be considered. There will be about 30 students on the caseload ranging from Pre-K to 12th grade.\\n\\nFor more information about this opportunity, please contact Brittany Forrester at 678-837-1244 or Brittany.forrester@soliant.com\\n\\nDon't miss this opportunity, APPLY NOW!"
Driver	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Heritage Community of Kalamazoo	KALAMAZOO	MI	"Provide bus or car transportation for residents to scheduled outings and Church. Basic vehicle maintenance duties such as cleaning/washing of vehicle, fueling, etc. High School diploma or GED 1-2 years experience in transportation services Direct experience working with adult populations preferred Valid Michigan Drivers License and Chauffeurs License Knowledge of vehicle maintenance requirements Ability to assist both ambulatory and non-ambulatory residents Strong customer service skills"
Home Health Aide / Certified Nursing Assistant	31-1011.00	Home Health Aides	2	Bayada Home Health Care	HYANNIS	MA	"As part of the BAYADA Home Health Care team, you will receive clinical guidance from our clinical manager. Become a team member today! We need you to help us provide exceptional care and services to our clients.\\n\\nThe ideal candidates will be compassionate, outgoing, energetic, honest and reliable with a strong desire to care for others. Our employees are our greatest asset. Seeking Home Health Aides / Certified Nursing Assistants who are willing to work 1 - 2 hour visits with clients."
Grill Cook	35-2011.00	"Cooks, Fast Food"	1	Campus Auxiliary Services - SUNY Geneseo	GENESEO	NY	"This position assists with the day to day operation of the kitchen including a variety of positions in connection with food preparation, service, and cleaning. Maintains the highest quality food products and service to our customers. Has a thorough understanding of NYS Health Codes. Insures that all food adheres to standards of quality and that the kitchen, serving area, and all equipment meets cleanliness and sanitation standards."
